recept,kategorija,podkategorija
14047,sladice,kreme za torte in peciva
16498,mesne jedi,svinjina
9545,sladice,slano pecivo
5705,sladice,torte
13756,sladice,ostalo
5251,sladice,pecivo
5082,predjedi,hladne
11073,sladice,pecivo
6400,mesne jedi,sesekljano meso
14107,mesne jedi,sesekljano meso
10575,kruh,
2478,enolončnice,
12685,sladice,pecivo
14649,sladice,piškoti
3670,morska hrana,ribe
16199,napitki,brezalkoholni
5647,ozimnica,pijače
2468,sladice,pecivo
13790,sladice,ostalo
12834,ozimnica,slani shranki
11152,sladice,pecivo
6135,omake,prelivi
5888,sladice,palačinke
3494,jajčne jedi,ostalo
13940,ozimnica,sladki shranki
5927,sladice,potice
6320,sladice,potice
2671,solate,
258,solate,
3055,ostale jedi,
17823,sladice,pecivo
5964,zelenjavne jedi,
4384,kruh,
11014,juhe in zakuhe,zelenjavne juhe
2956,napitki,alkoholni
10132,sladice,pecivo
5671,sladice,pecivo
15953,sladice,piškoti
10279,sladice,ostalo
2035,sladice,pecivo
2407,sladice,pecivo
6413,zelenjavne jedi,
4149,kruh,
3690,sladice,pecivo
10931,sladice,ostalo
14002,sladice,pecivo
8244,zelenjavne jedi,
3834,eksotika,ostale dežele
7089,mesne jedi,ostalo
5926,sladice,pecivo
131,testenine,
16032,sladice,
1633,sladice,pecivo
5667,sladice,pecivo
329,sladice,pecivo
302,sladice,pecivo
4784,sladice,pecivo
8177,enolončnice,
10498,eksotika,ostale dežele
6065,sladice,ostalo
5717,testenine,
11910,sladice,pecivo
1336,mesne jedi,sesekljano meso
9627,sladice,torte
5357,sladice,ostalo
2418,sladice,piškoti
1755,sladice,pecivo
8103,sladice,torte
23,enolončnice,
3543,sladice,piškoti
6986,eksotika,ostale dežele
10947,sladice,palačinke
10550,mesne jedi,perutnina
2358,sladice,pecivo
8293,sladice,pecivo
10811,sladice,piškoti
12341,sladice,pecivo
4289,testenine,
8291,sladice,piškoti
9882,sladice,ostalo
9406,sladice,pecivo
9371,zelenjavne jedi,
10278,sladice,slano pecivo
19302,sladice,torte
17224,sladice,kreme za torte in peciva
12062,sladice,ostalo
324,sladice,pecivo
14218,sladice,torte
4653,sladice,pecivo
14451,priloge,ostalo
5582,sladice,ostalo
15861,sladice,ostalo
13340,sladice,ostalo
6371,ostale jedi,
15605,kruh,
12199,jajčne jedi,ostalo
15442,predjedi,hladne
3417,sladice,torte
1894,sladice,ostalo
13558,ozimnica,ostalo
6292,enolončnice,
3823,sladice,pecivo
4969,sladice,ostalo
13819,sladice,torte
9966,zelenjavne jedi,
6682,predjedi,hladne
9355,sladice,piškoti
10606,sladice,ostalo
14372,sladice,ostalo
6671,enolončnice,
216,morska hrana,ostalo
14781,priloge,krompir
20057,sladice,torte
8228,sladice,piškoti
125,priloge,ostalo
4736,sladice,ostalo
12528,sladice,ostalo
11183,gobje jedi,
6283,sirove jedi,
11577,priloge,cmoki
8308,sladice,piškoti
14777,mesne jedi,perutnina
18083,sladice,pecivo
4335,sladice,torte
13324,sladice,pecivo
9537,sladice,piškoti
6610,juhe in zakuhe,jušne zakuhe
15948,sladice,ostalo
10330,priloge,ostalo
13398,sladice,ostalo
12580,sladice,pecivo
7002,sladice,pecivo
17327,sladice,pecivo
3047,eksotika,ostale dežele
6229,ostale jedi,
13309,sladice,piškoti
17998,kruh,
6483,sladice,pecivo
3660,mesne jedi,notranji deli
62,mesne jedi,perutnina
5890,sladice,piškoti
14036,sladice,torte
5383,mesne jedi,perutnina
14600,testenine,
10196,predjedi,tople
2262,sladice,piškoti
6598,zelenjavne jedi,
11922,enolončnice,
11,juhe in zakuhe,zelenjavne juhe
5865,sladice,ostalo
10918,sladice,pecivo
5114,sladice,torte
11519,kruh,
4907,enolončnice,
5138,sladice,torte
12882,sladice,ostalo
6467,sladice,ostalo
6568,sladice,pecivo
3635,sirove jedi,
9949,priloge,cmoki
9738,sladice,pecivo
10078,sladice,pecivo
3094,sladice,palačinke
1522,sladice,pecivo
10393,solate,
2662,sladice,ostalo
17452,sladice,ostalo
15872,mesne jedi,svinjina
115,priloge,cmoki
1449,sladice,piškoti
2916,sladice,piškoti
2675,sladice,ostalo
12243,sladice,torte
7219,sladice,pecivo
4597,predjedi,hladne
11810,gobje jedi,
5707,sladice,potice
5712,sladice,pecivo
13787,eksotika,Kitajska
15606,ozimnica,slani shranki
19063,sladice,pecivo
3721,priloge,ostalo
20339,sladice,torte
6912,sladice,ostalo
19352,sladice,pecivo
16897,mesne jedi,perutnina
2540,jajčne jedi,ostalo
4599,ostale jedi,
6112,sladice,pecivo
18051,kruh,
10127,sladice,pecivo
13886,sladice,torte
7249,ozimnica,sladki shranki
6227,zelenjavne jedi,
3679,ostale jedi,
2972,zelenjavne jedi,
9404,morska hrana,ostalo
1518,sladice,pecivo
13889,kruh,
13149,sladice,torte
4790,sladice,ostalo
6493,solate,
14939,enolončnice,
6136,sladice,ostalo
8336,mesne jedi,ostalo
12707,zelenjavne jedi,
13185,sladice,ostalo
14381,sladice,kreme za torte in peciva
13583,kruh,
5919,sladice,piškoti
3912,sladice,pecivo
5412,morska hrana,ostalo
14972,sladice,ostalo
7198,sladice,ostalo
10150,sladice,piškoti
16298,mesne jedi,svinjina
1502,gobje jedi,
3253,sladice,ostalo
2445,kruh,
12377,sladice,ostalo
3285,sladice,piškoti
16257,sladice,piškoti
9595,priloge,ostalo
3842,sladice,ostalo
10645,sladice,pecivo
12915,sladice,piškoti
406,sladice,pecivo
10275,sladice,pecivo
8350,sladice,ostalo
12955,ozimnica,ostalo
2013,sladice,piškoti
13,juhe in zakuhe,mesne
418,sladice,pudingi
6406,sladice,pecivo
6440,zelenjavne jedi,
8122,testenine,
6312,sladice,pecivo
2561,sladice,pecivo
15909,ostale jedi,
12211,priloge,ostalo
9855,sladice,torte
3059,mesne jedi,govedina
7098,sladice,slano pecivo
11819,sladice,torte
6862,priloge,krompir
4290,sladice,ostalo
9988,sladice,pecivo
11037,sladice,pecivo
17266,zelenjavne jedi,
4723,juhe in zakuhe,zelenjavne juhe
1728,sladice,pecivo
6755,mesne jedi,perutnina
2872,ozimnica,slani shranki
5351,sladice,torte
7091,sladice,pecivo
10104,sladice,pecivo
11380,sladice,torte
5702,jajčne jedi,ostalo
7286,kruh,
14662,sladice,pecivo
11111,sladice,ostalo
13163,kruh,
9622,mesne jedi,svinjina
10708,sladice,pecivo
12177,sladice,pecivo
1503,sladice,piškoti
3024,sladice,piškoti
2922,mesne jedi,perutnina
5565,sladice,pecivo
