id,naslov,objava,letoobjave,zahtevnost,priprava,kolicina,stmnenj,stfoto,zadnjafoto,letofoto,zdravajed
5428,Bučkina kremna juha,25.9.2005,,2,30,4 osebe,72,12,8.1.2015,,
1957,Hitro pripravljene miške,26.8.2002,,1,30,,77,13,4.10.2016,,
5600,Slastne Nušine rezine,16.10.2005,,1,30,,153,13,23.6.2015,,
3387,Segedin golaž,13.3.2004,,3,,,66,5,13.10.2013,,
3081,Be mel,31.12.2003,,1,30,,154,9,11.1.2016,,
4104,Jabolčna pita,3.10.2004,,1,90,,30,8,21.9.2013,,
5692,"Hitro, dobro in poceni",7.11.2005,,1,30,Sestavine za en pekač ca. 35 x 32,96,20,14.12.2014,,
14759,Cupcakes,13.2.2011,,2,90,6,76,64,10.3.2014,,
3867,Princeske,22.7.2004,,1,60,16 - 20 kosov,136,42,15.5.2016,,
3618,Palačinke,23.4.2004,,1,,,104,7,28.2.2015,,
1501,Bananine kocke,27.11.2001,,3,45,,85,9,31.1.2013,,
2054,Zdrobovi cmoki,27.9.2002,,1,,6 cmokov,90,4,6.1.2014,,
4342,Krhki žepki z marmelado,21.11.2004,,1,120,30 piškotov,62,22,6.1.2013,,
3914,Vložen stročji fižol,8.8.2004,,1,,4 osebe,41,7,23.8.2015,,
13212,Marshmallow fondant,21.11.2009,,2,30,,270,143,13.6.2016,,
10189,Rafaelo kroglice,29.6.2007,,1,30,,70,21,28.12.2015,,
301,Blejska grmada,29.3.2000,,3,60,,111,17,31.8.2014,,
9777,Bučke polnjene z mesom,25.2.2007,,2,75,4,61,16,30.10.2014,,Bolj zdrava jed
13838,"Kremšnite, kremne rezine-kot z Bleda + VIDEO priprave",26.5.2010,,5,30,15,66,4,12.12.2014,,
10155,Fina skutina torta,15.6.2007,,2,60,za model s premerom 26 cm,96,42,21.7.2014,,
5554,Zebrino pecivo,9.10.2005,,1,90,,179,51,26.5.2016,,
11757,Gogina alpska torta,16.9.2008,,2,90,12 kosov,204,28,13.8.2016,,
10273,Jogurtova torta brez pečenja,30.7.2007,,1,30,,35,6,9.7.2015,,
7200,Kinder paradiso,20.9.2006,,2,45,1 velik pekač,70,7,2.5.2015,,
2482,Muffini za čokoholike,29.3.2003,,1,45,,157,24,22.11.2015,,
10373,Metino-melisin sirup,24.8.2007,,2,15,,66,5,18.7.2016,,
10578,Žemlje - Dafke,17.10.2007,,4,75,16,143,44,2.3.2015,,
2022,Linške oči,14.9.2002,,1,,,77,35,14.12.2015,,
12615,Moje štručke,15.5.2009,,3,90,4 štručke,202,35,24.1.2014,,
4543,Bela limonina pita,22.1.2005,,1,90,,121,16,1.1.2016,,
3152,Lunice,25.1.2004,,1,45,60 kosov,83,9,15.5.2016,,
11562,Polnjene paprike,20.7.2008,,2,120,za 5-6 paprik,36,6,29.7.2016,,
9494,Mini pizze,2.1.2007,,2,,,108,11,7.5.2013,,
5510,Miške,5.10.2005,,3,,,46,6,23.2.2015,,
6599,Pizza muffini - nekvašeni,15.5.2006,,2,30,12 kom.,77,20,10.3.2014,,
10247,Trojne čokoladne kocke,17.7.2007,,3,120,16 kosov,124,30,18.5.2014,,
2271,Pasji smrčki,25.12.2002,,1,75,,104,14,30.10.2014,,
9713,Jogurtova pita,15.2.2007,,2,75,,60,14,13.6.2016,,
4972,Mafini,8.5.2005,,2,,za 12 kosov,43,8,17.2.2014,,
5928,Jota moje mame,2.1.2006,,1,,,66,6,4.5.2014,,
1371,Štefani (Stephanie) pečenka po moje,5.10.2001,,3,,,30,9,25.9.2012,,
3232,Miške s skuto,13.2.2004,,1,90,,99,12,24.6.2014,,
2889,Nočna potica,24.9.2003,,1,,,136,16,6.1.2014,,
6439,Krhka pita za vsak okus,16.4.2006,,1,60,,149,20,12.2.2016,,
6415,Pašta fižol,13.4.2006,,1,60,4 osebe,47,6,5.9.2014,,
373,Orehovi rogljički,7.1.1998,,1,,,49,13,22.12.2015,,
14695,Zdrobovi hrustavci,27.1.2011,,1,30,,33,9,23.8.2014,,
14387,Res najbolj pravi tiramisu,9.11.2010,,2,30,5 porcij,47,7,2.12.2014,,
4142,Sarma,11.10.2004,,3,,,17,1,15.11.2008,,
10079,Jogurtovo - sadna torta,18.5.2007,,2,240,,75,17,17.5.2015,,
6387,Šmorn (praženec),9.4.2006,,1,30,,65,9,10.7.2014,,
13284,Slastni skutini štruklji,11.12.2009,,2,45,za štiri osebe,34,5,27.9.2016,,
854,Španska pita,21.2.2001,,1,,,132,23,21.7.2014,,
1390,Potratna potica,15.10.2001,,3,,,68,20,10.1.2015,,
7062,Namaz iz paprike in gorčice,26.8.2006,,1,120,4 kozarci od kumar  720ml,74,8,26.9.2015,,
5858,Preprosti piškoti,13.12.2005,,2,180,1 velika škatla cca. 70 kosov,49,58,25.12.2015,,
13432,Zrezki iz mletega mesa - drugačni,20.1.2010,,2,60,za 8 oseb,59,8,20.1.2015,,
8139,"Višnjeva torta ""črni gozdiček""",18.10.2006,,3,,,90,57,6.9.2016,,
4413,Muffini,17.12.2004,,3,,12 do 18 kosov,83,5,4.6.2014,,
13727,Torta z Nutello in banano,20.4.2010,,2,45,16 kosov,30,32,8.4.2015,,
10851,Nebeški poljubčki,25.12.2007,,3,120,za 45 piškotkov,99,23,20.6.2016,,
11944,Vsestransko testo,26.11.2008,,3,120,,78,18,28.10.2015,,
6670,Polnjena francoska štruca,30.5.2006,,2,60,za 6-8 oseb,88,7,24.9.2015,,
5350,Serdiški valovi,7.9.2005,,3,120,,72,11,9.9.2016,,
8194,Chilli con carne,28.10.2006,,2,,za 4 osebe,67,13,28.4.2016,,
17130,Biskvit s skuto,3.5.2012,,2,60,,38,9,30.9.2013,,
16858,Afrodiziačna torta,18.3.2012,,4,4+ ur,,101,16,10.8.2016,,
12038,Brownies na hitro,17.12.2008,,1,45,,94,12,19.4.2013,,
17146,Popolna čokoladna torta Hershey's,5.5.2012,,2,60,1 torta ali 30 muffinov,141,59,24.11.2015,,
6801,Fižolova juha,24.6.2006,,3,,,42,1,11.6.2006,,
9342,Krhki flancati moje babice,14.12.2006,,1,45,,103,16,6.3.2014,,
457,Kvašeni rogljički,21.11.2000,,1,,,39,20,28.4.2016,,
10205,Piščančji trakci v smetanovi omaki,3.7.2007,,2,30,za 2 osebi,73,10,20.3.2013,,
11694,Bučna kremna juha,12.9.2008,,1,45,za 6 oseb,41,9,30.5.2014,,
16806,Okusni srčki z vanilijevo kremo,5.3.2012,,3,4+ ur,približno 45,64,27,28.2.2016,,
11144,Piškoti,3.3.2008,,2,120,,28,4,30.11.2015,,
9745,Ocvrte jogurtove miške,19.2.2007,,1,,,53,10,1.2.2016,,
1520,Hitro jabolčno pecivo,1.12.2001,,1,45,,38,5,20.9.2011,,
10408,Jogurtova bomba,2.9.2007,,2,15,,112,14,30.10.2015,,
12857,Kvašeni polži z vanilijevo kremo in rozinami,14.8.2009,,3,180,približno 20 polžev,116,27,23.8.2014,,
10602,Sarma na način mame Vide,23.10.2007,,4,180,4 - 6 oseb,32,12,28.2.2016,,
1699,Rafaello kroglice,18.2.2002,,3,5,cca. 10 os/odvisno od velikosti kroglic,136,13,5.8.2014,,
6766,Mesne kroglice v paradižnikovi omaki- čufte,16.6.2006,,2,,12 krogljic,41,5,2.3.2016,,
4139,Vložena rdeča pesa,10.10.2004,,3,,,52,4,24.8.2015,,
3262,Dušeno sladko zelje,19.2.2004,,1,,4 osebe,43,2,3.3.2010,,
2481,Štrudelj  - jabolčni/sirov zavitek,28.3.2003,,3,120,4 - 6 oseb,16,9,6.2.2016,,
4956,Kremna porova juha,3.5.2005,,1,,4 osebe,38,6,24.3.2014,,
2430,Piščančji paprikaš,2.3.2003,,1,,,28,5,18.8.2012,,
12210,Najlepši in najboljši krofi v Sloveniji,28.1.2009,,3,180, približno 24 krofov,63,12,6.7.2016,,
16782,Paradižnikova mezga,1.3.2012,,2,120,,29,7,17.8.2016,,
3263,Testo za pizzo,19.2.2004,,1,60,en pekač,60,2,17.12.2012,,
10410,Pirin kruh,2.9.2007,,2,120,,39,8,28.3.2016,,Bolj zdrava jed
5163,Svinjski zrezki v naravni omaki,14.7.2005,,2,,za 2 osebi,16,1,13.11.2009,,
9677,"""Ta pravi"" Italijanski tiramisu",9.2.2007,,3,60,,67,10,9.4.2016,,
5076,Sirov burek,14.6.2005,,2,,,77,17,19.2.2016,,
6213,Ruske kape,10.3.2006,,3,4+ ur,"odvisna od velikosti kozarca, vsaj 30,40kom",75,24,8.11.2014,,
5228,Koruzni kruh - slasten na kvadrat,5.8.2005,,3,,,137,22,27.9.2015,,
11067,Palačinke (osnovni recept),18.2.2008,,1,30,za 2 osebi,52,9,27.3.2016,,
4630,Skutine ledene kocke,9.2.2005,,2,,,55,1,18.9.2013,,
3332,Kvašeni flancati,3.3.2004,,1,75,,73,20,2.3.2015,,
16589,Angelske solze,26.1.2012,,3,90,,51,18,16.8.2015,,
683,Krostata,5.1.2001,,3,45,,65,18,22.1.2016,,
6827,Čokoladni muffini by Polly,29.6.2006,,3,,za 12 kosov,72,18,6.7.2016,,
6285,Carbonara špageti,22.3.2006,,1,,4,29,5,15.5.2013,,
5513,Zdrobov narastek,10.10.2005,,1,45,,46,9,23.6.2015,,
10074,Bajadera,16.5.2007,,1,30,,63,12,8.3.2016,,
17221,Ganache,26.5.2012,,1,180,"za manjšo tortico, premera 23 cm",66,19,10.2.2015,,
1758,Ciabatta,18.3.2002,,3,,,172,15,13.2.2013,,
12041,Čarobni kruhki,17.12.2008,,2,60,7 kuhkov,79,17,27.1.2015,,
9797,Kokosova torta,3.3.2007,,3,,12 kosov,73,35,7.3.2013,,
1855,Super kremšnite,10.6.2002,,3,,35 kosov,55,7,11.2.2014,,
13328,Brezmejno dobro,22.12.2009,,1,45,4 roladice,63,16,8.4.2015,,
4608,Zdrobovi svaljki,4.2.2005,,1,,,39,8,25.2.2015,,
18282,Piškoti iz samo treh sestavin,16.3.2013,,1,30,Za 15-do 18 piškotov,69,10,26.10.2014,,
1926,Orehi,11.8.2002,,1,,,95,18,15.8.2012,,
4828,Vanilijevi rogljički Migla,21.3.2005,,1,30,,87,19,28.12.2015,,
5886,Jogurtovo pecivo,18.12.2005,,1,45,1 pekač,25,3,12.4.2015,,
1340,Bananina rolada-preprosta a odlična,6.9.2001,,1,,,25,4,7.6.2011,,
2032,Čajno pecivo Mignon,17.9.2002,,3,4+ ur,,56,7,30.9.2013,,
13038,Mafini z banano in čokolado,3.10.2009,,1,30,12 mafinov,47,15,30.10.2014,,
4372,Bananino - čokoladni mehki keksi,3.12.2004,,1,90,40 piškotov,98,11,25.1.2011,,
9409,Špargljeva kremna juha,20.12.2006,,1,45,3 osebe,29,2,16.10.2009,,
13726,Pravljične rezine,20.4.2010,,1,45,30x22cm,45,10,26.9.2015,,
5766,Enostavno skutino pecivo,25.11.2005,,1,,,24,3,11.4.2013,,
5691,Čokoladna torta Noa,3.11.2005,,3,,,126,46,12.7.2016,,
5047,Čebelji pik,4.6.2005,,3,120,,70,9,28.2.2012,,
4461,Lignji s krompirjem v pečici,3.1.2005,,1,,4 osebe,30,4,8.6.2014,,
6419,Bezgov sirup,13.4.2006,,2,75,5 - 6 l,158,3,9.11.2014,,
4037,Prave kremne rezine,16.9.2004,,3,60,ožji pladenj za peko z malo višjim robom,71,3,23.11.2011,,
7125,Biskvitno pecivo s slivami,7.9.2006,,1,,srednje velik pekač,53,13,19.4.2015,,
14123,Čokoladna ledena torta,1.9.2010,,3,4+ ur,,42,11,27.10.2015,,
7171,Srbska solata ge. Marjetke,15.9.2006,,2,90,cca. 6 l kozarcev,45,1,3.9.2006,,
11526,Poletne bučke,9.7.2008,,1,30,2 - 3 osebe,59,11,20.8.2012,,
4888,Najboljši mlečni kruhek,7.4.2005,,2,,"za  eno pletenico, slabo kilo",65,21,14.4.2015,,
10601,Segedin golaž po Mojčino,23.10.2007,,2,60,,39,3,17.4.2016,,
2428,Sočno pecivo - imitacija jajca na oko,2.3.2003,,3,,za približno 12 kosov,74,9,27.4.2015,,
11994,Jota na najbolj enostaven način,6.12.2008,,1,120,8,23,4,12.2.2016,,
8164,Gobova omaka na moj način,22.10.2006,,1,,,42,7,28.4.2016,,
6063,Jogurtova pita,9.2.2006,,3,75,Pekač premera 25 cm,57,7,15.7.2015,,
15639,Čokoladno-pomarančna torta,11.9.2011,,2,75,8-10 kosov,66,17,4.1.2016,,
333,Jogurtove miške,8.2.1999,,1,,,53,4,6.2.2016,,
14062,Bučkini zrezki,12.8.2010,,1,30,za 4 osebe,51,5,30.6.2011,,
10276,Boranja,1.8.2007,,2,45,za 4 osebe,25,3,23.7.2015,,
4164,Najboljša krema za princeske in podobno,15.10.2004,,1,,,61,5,8.10.2012,,
7092,Moto piškoti,31.8.2006,,3,60,,57,19,25.12.2015,,
5937,Krompirjev golaž po moje,5.1.2006,,2,90,za 4 osebe,80,1,24.1.2006,,
6622,Gobice,21.5.2006,,3,,,55,45,9.4.2016,,
3300,Bele kučme,26.2.2004,,1,120,,60,15,24.1.2013,,
