id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed
11519,"Kruh, narejen s solno kvasno emulzijo",7.7.2008,darjuška,ženska,120 minut,1 kilogramski hlebček ,73,17,28.1.2014,kruh,,
11526,Poletne bučke,9.7.2008,mamaF,ženska,30 minut,2 - 3 osebe,59,11,20.8.2012,zelenjavne jedi,,
11530,Zajčja obara,11.7.2008,mamka,ženska,75 minut,4,10,1,29.6.2008,enolončnice,,
11562,Polnjene paprike,20.7.2008,Taia,ženska,120 minut,za 5-6 paprik,36,6,29.7.2016,mesne jedi, ostalo,
11564,»Narkočok« Muffini ,22.7.2008,šjorca,ženska,30 minut,12 kom,182,51,15.2.2016,sladice, ostalo,
11566,Zelenjavna mineštra s cmočki ,23.7.2008,Taia,ženska,60 minut,,5,3,7.9.2011,juhe in zakuhe, zelenjavne juhe,
11567,Polževa hišica,23.7.2008,~witch~fire,ženska,60 minut,dva rebrasta modela,23,11,31.5.2011,sladice, pecivo,
11577,Kruhovi cmoki,28.7.2008,angie.orhideja,ženska,30 minut,,15,5,4.6.2014,priloge, cmoki,
11582,Polnjene palačinke z mletim mesom,30.7.2008,Taia,ženska,90 minut,10-12 palačink,18,6,23.7.2008,jajčne jedi, omlete,
11585,Borovničevo pecivo ,1.8.2008,tenis/kuharca,ženska,75 minut,,46,17,23.6.2015,sladice, pecivo,
11590,Borovničeva  mascarpone torta,4.8.2008,nb,ženska,90 minut,,43,15,28.2.2016,sladice, torte,
11605,Vložene narezane kumarice,9.8.2008,senka,ženska,75 minut,,22,1,3.8.2008,ozimnica, ostalo,
11608,Lasagna Bolognese ,11.8.2008,Šef Sebastjan,moški,120 minut,,12,2,18.12.2015,testenine,,
11629,Zdrav pirin kruh dr. Nine,17.8.2008,recepti,ženska,75 minut,1 hlebec,96,19,11.6.2015,kruh,,Bolj zdrava jed
11637,Brancin v pečici,19.8.2008,bojči,ženska,60 minut,2 osebi,7,2,10.9.2010,morska hrana, ribe,
11658,Sok iz breskev in korenčka,28.8.2008,sweets,ženska,90 minut,,23,4,13.6.2016,napitki, brezalkoholni,
11662,Piščančji file v smetanovi omaki,29.8.2008,Migla,ženska,15 minut,za 4 osebe,25,3,20.5.2013,mesne jedi, perutnina,
11682,Breskvice,6.9.2008,sweets,ženska,180 minut,120 kosov,65,18,25.12.2015,sladice, pecivo,
11694,Bučna kremna juha,12.9.2008,morska medvedka,ženska,45 minut,za 6 oseb,41,9,30.5.2014,juhe in zakuhe, zelenjavne juhe,
11754,Sarajevsko pecivo,29.9.2008,orange,ženska,60 minut,,50,8,3.8.2016,sladice, pecivo,
11757,Gogina alpska torta,16.9.2008,gogad,ženska,90 minut,12 kosov,204,28,13.8.2016,sladice, torte,
1176,Orehova potica,10.5.2001,Loni,spol ni določen oz. marsovec,4+ ur,,261,65,28.4.2016,sladice, potice,
11810,Dežnikarice v omaki,11.10.2008,sweets,ženska,30 minut,,46,2,9.11.2008,gobje jedi,,
11819,Antilska temna torta,13.10.2008,Vendelina jr.,ženska,4+ ur,,35,5,27.1.2015,sladice, torte,
11837,Zelo čokoladna torta,17.10.2008,habibti,ženska,90 minut,,57,10,15.10.2009,sladice, torte,
11843,Gratinirane bučke s krompirjem,20.10.2008,anamarija1,spol ni določen oz. marsovec,60 minut,4 osebe,14,3,13.10.2008,zelenjavne jedi,,
11863,"Enostavna, mešana solata v  škafu",27.10.2008,receptor,moški,75 minut,,30,3,15.8.2009,ozimnica, slani shranki,
11865,Bučkini medaljončki,28.10.2008,anamarija1,spol ni določen oz. marsovec,30 minut,2 osebi,47,5,24.8.2013,zelenjavne jedi,,
11886,Pisana zelenjavna pita,8.11.2008,Janinka,ženska,60 minut,1 pita-prb. 5 oseb,12,6,29.3.2013,zelenjavne jedi,,
11887,Hitra pita,9.11.2008,Roncolino,ženska,45 minut,,16,8,11.4.2014,sladice, pecivo,
1190,Sočno skutino pecivo,29.5.2001,mobng12,ženska,,,113,10,3.7.2012,sladice, pecivo,
11910,Pasteis de nata,17.11.2008,spagon,ženska,120 minut,24,24,14,17.5.2013,sladice, pecivo,
11922,Kislo zelje,21.11.2008,bojci28,moški,90 minut,,11,1,2.12.2008,enolončnice,,
11931,Narastek MM,24.11.2008,morska medvedka,ženska,90 minut,5 oseb,28,8,8.5.2015,mesne jedi, sesekljano meso,
11944,Vsestransko testo,26.11.2008,golubić,ženska,120 minut,,78,18,28.10.2015,kruh,,
11966,Valizerski rženi kruh,30.11.2008,Vanja_v_ZDA,ženska,180 minut,,34,24,27.3.2016,kruh,,
11969,Jabolčni zavitek Paola,1.12.2008,lucka52,ženska,120 minut,2 kosa,74,16,13.9.2014,sladice, pecivo,
11972,Pecivo s kislo smetano,2.12.2008,bojči,ženska,90 minut,pekač-25x40,12,6,30.6.2014,sladice, pecivo,
11974,Ameriške palačinke s pomarančnim sokom,2.12.2008,Vanja_v_ZDA,ženska,15 minut,,43,6,11.1.2013,sladice, palačinke,
11984,Marcipanovi srčki z rumom,4.12.2008,mamamia,ženska,120 minut,(okoli 50 kosov),36,6,19.12.2011,sladice, piškoti,
11986,Sanjska jogurtova torta z marelicami,4.12.2008,nb,ženska,45 minut,,31,18,21.10.2014,sladice, torte,
11987,Mesni zvitki,4.12.2008,morska medvedka,ženska,90 minut,6 oseb,36,15,10.3.2014,mesne jedi, sesekljano meso,
11991,Mlečni riž,5.12.2008,Kapitan Velika Žlica,moški,30 minut,za 6 oseb,19,2,12.11.2014,otroška hrana, otroci,
11994,Jota na najbolj enostaven način ,6.12.2008,skoce,moški,120 minut,8,23,4,12.2.2016,enolončnice,,
11995,Klepetalka,6.12.2008,morska medvedka,ženska,120 minut,pekač iz pečice (globok),55,11,5.3.2010,sladice, pecivo,
12002,Sanjski čokoladno čokoladni piškoti,8.12.2008,Vanja_v_ZDA,ženska,30 minut,,41,7,16.11.2015,sladice, piškoti,
12008,Špecli (Spaetzle),10.12.2008,Vanja_v_ZDA,ženska,15 minut,,46,4,21.2.2012,testenine,,
12017,Borovničev zavitek s skuto,11.12.2008,tejčika,ženska,60 minut,,14,2,29.6.2016,sladice, ostalo,
12037,Najboljši razpokani čokoladni piškotki,16.12.2008,Vanja_v_ZDA,ženska,60 minut,približno 30,139,26,1.1.2016,sladice, piškoti,
12038,Brownies na hitro,17.12.2008,Vanja_v_ZDA,ženska,45 minut,,94,12,19.4.2013,sladice, pecivo,
1204,Torta Pavlova na način moje mame Angelce,26.6.2001,,,,6 porcij,27,16,30.11.2014,sladice, torte,
12041,Čarobni kruhki,17.12.2008,Vanja_v_ZDA,ženska,60 minut,7 kuhkov,79,17,27.1.2015,kruh,,
12042,"""Ponarejena"" tičina masa",17.12.2008,bonanza,ženska,5 minut,,197,40,17.5.2013,sladice, ostalo,
12047,Empanade,18.12.2008,karamazov,spol ni določen oz. marsovec,60 minut,za 6-8 oseb,14,9,1.11.2011,predjedi, tople,
12056,Lanina torta,22.12.2008,bonanza,ženska,180 minut,,45,26,9.9.2016,sladice, torte,
12062,Čokoladna rulada z vanilijevo kremo,23.12.2008,anitka_,ženska,30 minut,približno 10 kosov,17,4,11.1.2013,sladice, ostalo,
1208,Hitra sirova omaka,26.6.2001,vileda,spol ni določen oz. marsovec,,,24,2,13.7.2012,omake, tople,
12093,Orehova potica,6.1.2009,Mlada_kuharica,ženska,120 minut,,8,2,29.12.2008,sladice, potice,
1211,Borovničev liker,2.7.2001,anja,ženska,,,18,1,1.7.2010,ozimnica, pijače,
12127,"Čoko banana rezine, ki ga očarajo",11.1.2009,SLONCICA,ženska,120 minut,16 velikih kosov,30,5,21.11.2009,sladice, pecivo,
12128,Jabolčno skutina zloženka iz vlečenega testa,11.1.2009,darjuška,ženska,90 minut,1 pekač 37 x 29 cm,11,2,9.9.2011,sladice, ostalo,
12133,Kokosovi rogljički,12.1.2009,plezalka,ženska,90 minut,,7,4,8.3.2012,sladice, piškoti,
12134,Jogurtovi žepki,12.1.2009,plezalka,ženska,120 minut,,7,6,15.2.2016,sladice, piškoti,
12144,Enostavna musaka,14.1.2009,maagnolia,ženska,75 minut,3-4 osebe,11,5,27.5.2015,mesne jedi, sesekljano meso,
12154,Zapečena polenta s paradižnikom,16.1.2009,mamamia,ženska,90 minut,za šest oseb,19,3,23.2.2012,ostale jedi,,
12158,Orehovo marmeladna rolada iz krhkega testa,17.1.2009,anamarija1,spol ni določen oz. marsovec,45 minut,pekača 11x18 za eno rolado,61,13,18.8.2012,sladice, ostalo,
12177,Ameriška jabolčna pita,20.1.2009,Vanja_v_ZDA,ženska,90 minut,6 do 8 oseb,50,9,4.6.2014,sladice, pecivo,
12199,Quiche z brokolijem,25.1.2009,Vanja_v_ZDA,ženska,75 minut,Pekač 24 cm premera,21,9,24.4.2013,jajčne jedi, ostalo,
12210,Najlepši in najboljši krofi v Sloveniji,28.1.2009,Marko137,moški,180 minut, približno 24 krofov,63,12,6.7.2016,sladice, pecivo,
12211,Kvinoja,27.1.2009,linolina,ženska,30 minut,za 2 osebi,17,4,17.11.2013,priloge, ostalo,
12220,Marmorni cheesecake,29.1.2009,šjorca,ženska,75 minut,za eno tortico,59,8,6.1.2014,sladice, ostalo,
12221,Marmorni kolač,30.1.2009,certa,ženska,60 minut,,61,13,27.10.2015,sladice, pecivo,
12223,Žametna limonina torta,30.1.2009,Vanja_v_ZDA,ženska,4+ ur,Torta 18 cm premera,59,7,12.4.2011,sladice, torte,
12243,Čokoladna torta za čokoholike,4.2.2009,Vanja_v_ZDA,ženska,90 minut,25 cm tortni model,50,16,24.9.2016,sladice, torte,
12253,Skutin narastek,6.2.2009,zmesnjavca,ženska,45 minut,,22,2,31.1.2013,sladice, pecivo,
12284,Lincer piškoti,13.2.2009,angie.orhideja,ženska,180 minut,90 piškotov ,19,16,17.12.2014,sladice, piškoti,
12286,Keksi moje babice  (na mesoreznico),14.2.2009,herkules,ženska,90 minut,"cca  1,5 kg",21,5,3.12.2013,sladice, piškoti,
