id,naslov,objava,avtor,spol,priprava,kolicina,stmnenj,stfoto,zadnjafoto,kategorija,podkategorija,zdravajed,letofoto,letoobjave,idavtorja
2706,Borovničevi muffini,2.7.2003,"{'id': 'majda', 'avtor': 'majda'}",ženska,45,4 osebe,108,27,2.7.2014,, pecivo,0,2014,2003,majda
5698,Pizza muffini,5.11.2005,"{'id': 'simona84', 'avtor': 'Simona84'}",ženska,60,12 muffinčkov,89,20,2.3.2015,,,0,2015,2005,simona84
12726,Češnjev ciganski štrudelj,25.6.2009,"{'id': 'tica', 'avtor': 'tica'}",spol ni določen oz. marsovec,75,,66,13,29.6.2015,, pecivo,0,2015,2009,tica
17720,Zelo dobro pecivo s sadnim jogurtom,9.10.2012,"{'id': 'dinna', 'avtor': 'dinna'}",ženska,30,,72,14,2.4.2014,, pecivo,0,2014,2012,dinna
19139,Nutelina zvezda,2.12.2013,"{'id': 'manuelaj', 'avtor': 'manuelaj'}",ženska,45,,80,65,8.3.2016,, pecivo,0,2016,2013,manuelaj
4178,Čokoladna torta,17.10.2004,"{'id': 'keyj', 'avtor': 'keyj'}",ženska,90,,157,66,6.8.2016,, torte,0,2016,2004,keyj
9457,Mehki cimetovi keksi,24.12.2006,"{'id': 'valerci', 'avtor': 'Valerci'}",ženska,,,123,40,8.1.2016,, piškoti,0,2016,2006,valerci
2192,Ričet po babičino,17.11.2002,"{'id': 'viva', 'avtor': 'viva'}",ženska,,za 4 osebe,55,4,25.10.2013,,,0,2013,2002,viva
15352,Trojni užitek,24.6.2011,"{'id': 'suziqatro', 'avtor': 'suziqatro'}",spol ni določen oz. marsovec,60,,49,10,14.4.2015,, pecivo,0,2015,2011,suziqatro
4663,Pustni krofi,8.2.2005,"{'id': 'reca', 'avtor': 'Reca'}",ženska,,12 krofov,664,80,12.2.2016,, pecivo,0,2016,2005,reca
1509,Domači prijatelj,28.11.2001,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,45,,30,16,1.1.2016,, piškoti,0,2016,2001,riko
2728,Slani rogljički,11.7.2003,"{'id': 'stasafrank', 'avtor': 'stasafrank'}",ženska,90,za 64 kosov,94,33,27.1.2015,, slano pecivo,0,2015,2003,stasafrank
13535,Ajdovčki,22.2.2010,"{'id': 'dete', 'avtor': 'dete'}",ženska,30,,94,33,2.3.2016,, piškoti,0,2016,2010,dete
1736,Londonske rezine,28.2.2002,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,60,,77,9,13.3.2016,, pecivo,0,2016,2002,riko
10540,Rogljički s čokolado,7.10.2007,"{'id': 'jade', 'avtor': 'jade'}",ženska,120,24 rogljičkov,164,63,20.6.2016,, pecivo,0,2016,2007,jade
5044,Goveji golaž,3.6.2005,"{'id': 'sarabande', 'avtor': 'sarabande'}",moški,120,za 8 oseb,84,5,3.4.2016,, govedina,0,2016,2005,sarabande
4842,Osnovno vlečeno testo,25.3.2005,"{'id': 'dalsi', 'avtor': 'dalsi'}",ženska,,,92,13,9.2.2015,, ostalo,0,2015,2005,dalsi
4108,Kokosove kocke,4.10.2004,"{'id': 'tjanca', 'avtor': 'Tjanca'}",ženska,,,69,11,22.9.2014,, pecivo,0,2014,2004,tjanca
12037,Najboljši razpokani čokoladni piškotki,16.12.2008,"{'id': 'vanja_v_zda', 'avtor': 'Vanja_v_ZDA'}",ženska,60,približno 30,139,26,1.1.2016,, piškoti,0,2016,2008,vanja_v_zda
141,Slivovi cmoki,24.9.1998,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,60,,91,10,7.12.2014,, ostalo,0,2014,1998,marinka
1896,Marelični cmoki iz skutnega testa,17.7.2002,"{'id': 'tiuba', 'avtor': 'TIUBA'}",ženska,,12 cmokov,137,14,20.7.2016,, ostalo,0,2016,2002,tiuba
11754,Sarajevsko pecivo,29.9.2008,"{'id': 'orange', 'avtor': 'orange'}",ženska,60,,50,8,3.8.2016,, pecivo,0,2016,2008,orange
378,Pehtranova potica,24.12.1999,"{'id': 'marinka', 'avtor': 'Marinka'}",ženska,180,,54,17,22.8.2016,, potice,0,2016,1999,marinka
9450,Kruh brez gnetenja,23.12.2006,"{'id': 'zzvone', 'avtor': 'ZZVONE'}",moški,300,,332,68,2.3.2016,,,0,2016,2006,zzvone
410,Tiramisu,26.1.1999,"{'id': 'mija', 'avtor': 'Mija'}",ženska,30,,62,10,10.8.2014,, pecivo,0,2014,1999,mija
10855,Brizgani piškot,26.12.2007,"{'id': 'mamamia', 'avtor': 'mamamia'}",ženska,120,za 60 kosov,64,33,18.12.2015,, piškoti,0,2015,2007,mamamia
16994,Jaffa kroglice,13.4.2012,"{'id': 'anansie', 'avtor': 'Anansie'}",ženska,45,cca. 30kroglic,90,21,19.8.2016,, piškoti,0,2016,2012,anansie
12581,Čokoladni sufle,6.5.2009,"{'id': 'pvxlmgerlboiytsj', 'avtor': 'magic girl'}",ženska,60,odvisno od modelčkov,87,24,31.10.2014,, ostalo,0,2014,2009,pvxlmgerlboiytsj
12221,Marmorni kolač,30.1.2009,"{'id': 'certa', 'avtor': 'certa'}",ženska,60,,61,13,27.10.2015,, pecivo,0,2015,2009,certa
1929,Piščančja obara z žličniki,11.8.2002,"{'id': 'goga', 'avtor': 'goga'}",ženska,90,4 osebe,93,11,5.11.2014,, mesne,0,2014,2002,goga
1660,Lazanja z mesno omako,29.1.2002,"{'id': 'riko', 'avtor': 'Riko'}",spol ni določen oz. marsovec,,,75,10,24.12.2014,, mešano meso,0,2014,2002,riko
